episode,opsdemo_reward,response_policy_accuracy,baseline_reward
917,91.0,1.0,80.0
918,91.0,1.0,91.0
919,94.0,1.0,97.0
920,83.0,1.0,90.0
921,91.0,1.0,95.0
922,92.0,1.0,95.0
923,94.0,1.0,95.0
924,95.0,1.0,88.0
925,93.0,1.0,88.0
926,87.0,0.7692307692307693,89.0
927,92.0,1.0,89.0
928,94.0,1.0,93.0
929,92.0,1.0,87.0
930,88.0,1.0,96.0
931,95.0,1.0,97.0
932,87.0,1.0,94.0
933,90.0,1.0,76.0
934,93.0,1.0,81.0
935,90.0,1.0,91.0
936,87.0,0.6923076923076923,90.0
937,88.0,0.36363636363636365,89.0
938,94.0,1.0,93.0
939,90.0,1.0,87.0
940,92.0,1.0,97.0
941,89.0,1.0,91.0
942,93.0,1.0,94.0
943,89.0,1.0,88.0
944,90.0,1.0,94.0
945,94.0,1.0,85.0
946,94.0,1.0,90.0
947,91.0,1.0,91.0
948,81.0,0.5555555555555556,93.0
949,97.0,1.0,94.0
950,99.0,1.0,88.0
951,97.0,1.0,89.0
952,87.0,1.0,94.0
953,85.0,1.0,93.0
954,90.0,1.0,97.0
955,96.0,1.0,89.0
956,93.0,1.0,85.0
957,90.0,1.0,97.0
958,96.0,1.0,90.0
959,95.0,1.0,89.0
