episode,global_step,from_policy,to_policy,true_policy,normalized_error
420,16306,attack,attack,attack,0.6619080901145935
421,16324,attack,detour,direct,0.7408004999160767
423,16362,detour,attack,direct,0.4848836362361908
424,16388,attack,detour,direct,0.4542617201805115
426,16426,detour,detour,direct,0.5757274031639099
429,16450,detour,detour,direct,0.7102348208427429
431,16494,detour,detour,detour,0.2383204996585846
432,16529,detour,detour,detour,0.19743935763835907
433,16554,detour,detour,detour,0.3277411460876465
434,16584,detour,detour,detour,0.34489524364471436
435,16621,detour,detour,detour,0.4252112805843353
435,16660,detour,detour,attack,0.46605390310287476
436,16715,detour,detour,attack,0.2921708822250366
437,16741,detour,attack,attack,0.3731078505516052
439,16801,attack,detour,direct,0.6139795184135437
441,16855,detour,detour,direct,0.11671480536460876
445,16906,detour,detour,direct,0.21721568703651428
448,16976,detour,detour,detour,0.3536180853843689
449,17030,detour,detour,detour,0.28351515531539917
451,17085,detour,detour,detour,0.38309723138809204
452,17120,detour,detour,attack,0.7925662398338318
453,17175,detour,detour,attack,0.3691377639770508
454,17223,detour,detour,attack,0.11996172368526459
457,17292,detour,direct,direct,0.9305402040481567
457,17311,direct,direct,direct,0.23281514644622803
458,17333,direct,attack,direct,0.296431303024292
460,17372,attack,direct,direct,0.6963050961494446
462,17394,direct,direct,direct,0.2315138280391693
463,17416,direct,detour,direct,0.4147653579711914
464,17480,detour,detour,detour,0.1305014193058014
465,17512,detour,detour,detour,0.1341199427843094
466,17560,detour,detour,detour,0.3644651770591736
467,17598,detour,detour,detour,0.2757764458656311
468,17629,detour,attack,attack,0.2846794128417969
469,17699,attack,attack,attack,0.11975878477096558
469,17761,attack,direct,direct,0.8770642280578613
470,17800,direct,detour,direct,0.44981488585472107
473,17835,detour,detour,direct,0.39742109179496765
476,17877,detour,detour,direct,0.8394179344177246
479,17922,detour,detour,detour,0.4357515275478363
479,17961,detour,detour,detour,0.3750532269477844
481,17994,detour,detour,detour,0.6040033102035522
482,18047,detour,detour,detour,0.2490805983543396
483,18086,detour,detour,attack,0.41232407093048096
483,18130,detour,detour,attack,0.5709710121154785
484,18168,detour,direct,attack,0.45771798491477966
484,18207,direct,direct,attack,0.3223247528076172
485,18243,direct,attack,direct,0.34523507952690125
489,18313,attack,attack,direct,0.18030621111392975
494,18383,attack,direct,direct,0.4758600890636444
494,18420,direct,direct,detour,0.3241178095340729
494,18436,direct,detour,detour,1.016956090927124
