episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
26,227,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,1,1,False,3.3885598569189055,7.959999998895641
26,228,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,1,1,False,3.348534810669718,7.919999994289763
26,229,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,4,1,False,3.3075165975612353,7.879997842210703
26,230,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,4,1,False,3.2667707500749517,8.0
26,231,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,1,1,False,3.2260103839026186,8.0
26,232,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,3,1,False,3.185688622315254,8.0
26,233,7,-1.0,-7.0,chase_x,chase_x,True,chase_x,True,2,4,False,3.1344029415651145,8.0
26,234,8,-1.0,-8.0,chase_x,chase_x,True,chase_x,True,1,1,False,3.001872622313498,8.0
26,235,9,-1.0,-9.0,chase_x,chase_x,True,chase_x,True,3,4,False,2.9586356479019473,8.0
26,236,10,-1.0,-10.0,chase_x,chase_x,True,chase_x,True,3,1,False,2.9185892119034986,8.0
26,237,11,-1.0,-11.0,chase_x,chase_x,True,chase_x,True,1,4,False,3.379519646499771,8.0
26,238,12,99.0,88.0,chase_x,chase_x,True,chase_x,True,0,3,False,3.2697872181797676,7.959999838647498
27,239,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,3,1,False,3.1511870888085953,8.0
27,240,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,3,3,False,3.1111845317103093,7.959999952053137
27,241,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,3,3,False,3.0711824471555067,7.919999940029172
27,242,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,3,3,False,3.0311734762546174,7.879999471526244
27,243,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,3,1,False,2.8842592144652333,8.0
27,244,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,3,0,False,3.807623821851489,8.0
27,245,7,-1.0,-7.0,chase_x,chase_x,True,chase_x,True,3,0,False,3.7393688221325525,8.0
27,246,8,99.0,92.0,chase_x,chase_x,True,chase_x,True,3,1,False,3.693725474129951,8.0
28,247,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,2,1,False,3.653724857230954,7.959999834127167
28,248,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,0,1,False,3.6135737360382736,7.919999811665241
28,249,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,1,1,False,3.5734880626381464,7.879999787270786
